benchmark,relay,cap,obs,up,down
fixedrate,direct,10,1,1.14,6.287
fixedrate,direct,10,2,0.726,12.068
fixedrate,direct,10,3,0.594,11.326
fixedrate,direct,10,4,1.901,17.231
fixedrate,direct,10,5,0.594,12.081
fixedrate,direct,10,6,0.528,11.26
fixedrate,direct,10,7,0.594,11.644
fixedrate,direct,10,8,0.462,10.928
fixedrate,direct,10,9,0.594,11.962
fixedrate,direct,10,10,0.462,11.118
fixedrate,direct,10,11,0.594,11.084
fixedrate,direct,10,12,5.442,42.887
fixedrate,direct,10,13,15.284,96.239
fixedrate,direct,10,14,6.359,19.38
fixedrate,direct,10,15,11.151,36.122
fixedrate,direct,10,16,0.528,11.26
fixedrate,direct,10,17,0.594,11.67
fixedrate,direct,10,18,5.183,27.343
fixedrate,direct,10,19,0.734,10.412
fixedrate,direct,10,20,0.528,11.962
fixedrate,direct,20,1,1.458,13.599
fixedrate,direct,20,2,1.056,21.92
fixedrate,direct,20,3,0.726,21.846
fixedrate,direct,20,4,0.726,22.052
fixedrate,direct,20,5,0.858,23.492
fixedrate,direct,20,6,0.792,20.818
fixedrate,direct,20,7,1.082,23.138
fixedrate,direct,20,8,6.878,59.969
fixedrate,direct,20,9,3.835,37.591
fixedrate,direct,20,10,1.766,25.599
fixedrate,direct,20,11,0.924,22.145
fixedrate,direct,20,12,3.473,29.478
fixedrate,direct,20,13,18.779,245.487
fixedrate,direct,20,14,24.241,233.542
fixedrate,direct,20,15,14.207,212.703
fixedrate,direct,20,16,20.915,198.702
fixedrate,direct,20,17,16.641,538.708
fixedrate,direct,20,18,0.726,22.416
fixedrate,direct,20,19,0.858,22.352
fixedrate,direct,20,20,1.188,21.682
fixedrate,direct,30,1,1.908,20.962
fixedrate,direct,30,2,1.386,33.162
fixedrate,direct,30,3,0.99,31.823
fixedrate,direct,30,4,1.093,33.71
fixedrate,direct,30,5,2.06,32.736
fixedrate,direct,30,6,0.924,31.51
fixedrate,direct,30,7,1.056,33.436
fixedrate,direct,30,8,1.418,29.19
fixedrate,direct,30,9,1.722,35.946
fixedrate,direct,30,10,0.924,31.715
fixedrate,direct,30,11,0.99,33.337
fixedrate,direct,30,12,1.056,32.416
fixedrate,direct,30,13,1.056,32.109
fixedrate,direct,30,14,0.99,31.429
fixedrate,direct,30,15,1.188,34.012
fixedrate,direct,30,16,0.858,31.583
fixedrate,direct,30,17,1.314,33.148
fixedrate,direct,30,18,1.254,31.796
fixedrate,direct,30,19,1.374,31.537
fixedrate,direct,30,20,0.924,31.869
fixedrate,direct,40,1,1.764,25.793
fixedrate,direct,40,2,2.068,43.667
fixedrate,direct,40,3,1.452,43.692
fixedrate,direct,40,4,1.452,43.486
fixedrate,direct,40,5,1.518,43.253
fixedrate,direct,40,6,1.452,42.878
fixedrate,direct,40,7,1.452,42.878
fixedrate,direct,40,8,1.452,43.259
fixedrate,direct,40,9,1.452,42.878
fixedrate,direct,40,10,1.452,43.285
fixedrate,direct,40,11,1.806,42.648
fixedrate,direct,40,12,1.452,42.878
fixedrate,direct,40,13,1.936,43.667
fixedrate,direct,40,14,1.731,42.944
fixedrate,direct,40,15,1.452,43.285
fixedrate,direct,40,16,1.452,42.878
fixedrate,direct,40,17,1.452,41.771
fixedrate,direct,40,18,2.424,48.229
fixedrate,direct,40,19,2.757,47.087
fixedrate,direct,40,20,1.452,43.345
fixedrate,direct,50,1,1.644,37.428
fixedrate,direct,50,2,2.766,71.722
fixedrate,direct,50,3,1.452,53.097
fixedrate,direct,50,4,1.386,53.111
fixedrate,direct,50,5,1.452,54.611
fixedrate,direct,50,6,2.04,52.965
fixedrate,direct,50,7,1.452,53.097
fixedrate,direct,50,8,1.386,52.326
fixedrate,direct,50,9,1.584,54.354
fixedrate,direct,50,10,2.832,67.876
fixedrate,direct,50,11,2.31,86.788
fixedrate,direct,50,12,1.584,53.732
fixedrate,direct,50,13,2.118,54.111
fixedrate,direct,50,14,1.452,53.705
fixedrate,direct,50,15,3.14,56.308
fixedrate,direct,50,16,1.452,53.157
fixedrate,direct,50,17,1.452,54.105
fixedrate,direct,50,18,1.518,53.948
fixedrate,direct,50,19,1.518,54.323
fixedrate,direct,50,20,1.452,53.604
fixedrate,direct,60,1,1.83,46.079
fixedrate,direct,60,2,1.584,63.934
fixedrate,direct,60,3,1.65,62.922
fixedrate,direct,60,4,1.801,64.534
fixedrate,direct,60,5,1.65,64.139
fixedrate,direct,60,6,1.518,63.97
fixedrate,direct,60,7,1.518,63.496
fixedrate,direct,60,8,1.584,64.535
fixedrate,direct,60,9,1.518,63.189
fixedrate,direct,60,10,1.897,64.849
fixedrate,direct,60,11,1.716,64.571
fixedrate,direct,60,12,2.328,62.961
fixedrate,direct,60,13,1.518,63.67
fixedrate,direct,60,14,1.584,63.736
fixedrate,direct,60,15,1.518,63.67
fixedrate,direct,60,16,1.584,64.403
fixedrate,direct,60,17,1.584,62.889
fixedrate,direct,60,18,6.147,67.692
fixedrate,direct,60,19,8.45,79.719
fixedrate,direct,60,20,8.157,76.251
fixedrate,direct,70,1,3.909,55.433
fixedrate,direct,70,2,1.596,65.186
fixedrate,direct,70,3,3.102,82.205
fixedrate,direct,70,4,2.112,75.781
fixedrate,direct,70,5,2.112,74.23
fixedrate,direct,70,6,2.31,73.655
fixedrate,direct,70,7,2.112,73.489
fixedrate,direct,70,8,2.244,72.916
fixedrate,direct,70,9,2.112,78.271
fixedrate,direct,70,10,2.046,73.523
fixedrate,direct,70,11,2.112,73.523
fixedrate,direct,70,12,3.523,87.118
fixedrate,direct,70,13,35.661,515.026
fixedrate,direct,70,14,27.839,387.664
fixedrate,direct,70,15,25.543,362.075
fixedrate,direct,70,16,19.477,197.145
fixedrate,direct,70,17,7.523,95.891
fixedrate,direct,70,18,1.848,77.214
fixedrate,direct,70,19,2.574,94.461
fixedrate,direct,70,20,2.766,74.368
fixedrate,direct,80,1,2.16,63.192
fixedrate,direct,80,2,3.102,82.405
fixedrate,direct,80,3,2.352,87.437
fixedrate,direct,80,4,2.376,85.752
fixedrate,direct,80,5,5.678,89.149
fixedrate,direct,80,6,4.835,123.138
fixedrate,direct,80,7,4.874,101.473
fixedrate,direct,80,8,6.234,119.068
fixedrate,direct,80,9,27.821,653.4
fixedrate,direct,80,10,16.05,602.852
fixedrate,direct,80,11,5.62,193.413
fixedrate,direct,80,12,8.077,102.316
fixedrate,direct,80,13,2.508,84.513
fixedrate,direct,80,14,2.376,85.853
fixedrate,direct,80,15,2.244,85.531
fixedrate,direct,80,16,2.244,85.68
fixedrate,direct,80,17,4.414,85.181
fixedrate,direct,80,18,2.244,85.591
fixedrate,direct,80,19,2.31,85.924
fixedrate,direct,80,20,2.244,84.658
fixedrate,direct,90,1,2.424,68.759
fixedrate,direct,90,2,2.112,86.247
fixedrate,direct,90,3,3.798,104.172
fixedrate,direct,90,4,2.687,94.713
fixedrate,direct,90,5,2.376,95.62
fixedrate,direct,90,6,2.849,96.237
fixedrate,direct,90,7,4.764,91.22
fixedrate,direct,90,8,2.376,100.413
fixedrate,direct,90,9,2.244,96.095
fixedrate,direct,90,10,2.178,94.149
fixedrate,direct,90,11,2.244,95.122
fixedrate,direct,90,12,2.244,88.968
fixedrate,direct,90,13,2.31,101.626
fixedrate,direct,90,14,2.244,95.122
fixedrate,direct,90,15,2.244,94.647
fixedrate,direct,90,16,2.244,96.221
fixedrate,direct,90,17,3.61,92.228
fixedrate,direct,90,18,3.189,98.834
fixedrate,direct,90,19,2.244,96.636
fixedrate,direct,90,20,2.178,94.581
fixedrate,direct,100,1,3.313,75.635
fixedrate,direct,100,2,4.793,102.47
fixedrate,direct,100,3,2.706,117.55
fixedrate,direct,100,4,2.904,106.522
fixedrate,direct,100,5,2.772,105.782
fixedrate,direct,100,6,3.54,104.893
fixedrate,direct,100,7,2.508,98.403
fixedrate,direct,100,8,4.348,115.62
fixedrate,direct,100,9,3.521,105.893
fixedrate,direct,100,10,2.64,106.289
fixedrate,direct,100,11,2.508,101.233
fixedrate,direct,100,12,2.64,110.192
fixedrate,direct,100,13,3.342,104.995
fixedrate,direct,100,14,2.957,104.525
fixedrate,direct,100,15,3.627,108.068
fixedrate,direct,100,16,2.677,100.711
fixedrate,direct,100,17,4.344,112.15
fixedrate,direct,100,18,4.15,107.623
fixedrate,direct,100,19,2.904,106.223
fixedrate,direct,100,20,2.574,104.775
fixedrate,direct,110,1,2.641,81.549
fixedrate,direct,110,2,3.774,119.302
fixedrate,direct,110,3,2.97,116.679
fixedrate,direct,110,4,2.904,114.675
fixedrate,direct,110,5,3.3,117.813
fixedrate,direct,110,6,2.904,115.848
fixedrate,direct,110,7,2.904,114.675
fixedrate,direct,110,8,4.084,113.197
fixedrate,direct,110,9,3.036,121.288
fixedrate,direct,110,10,2.904,115.848
